//编号（道具id）	道具名	精炼特效表现类型1   （攻击系）	精炼特效表现类型2   (Defensive Series)	精炼特效表现类型3   (Poison Series)	精炼特效表现类型4   (增益状态系）	精炼特效表现类型5   （攻击系＋防御系）	精炼特效表现类型6      （攻击系＋毒副状态系）	精炼特效表现类型7   （攻击系＋增益状态系）	精炼特效表现类型8   （防御+毒）	精炼特效表现类型9   （防御+增益）	精炼特效表现类型10   （毒+增益）	精炼特效表现类型11   （攻击+防御+毒）	精炼特效表现类型12   （攻击+防御+增益）	精炼特效表现类型13   （攻击+毒+增益）	精炼特效表现类型14   （防御+毒+增益）	Lance's forging base effect value	卡西斯精练效果基准值	菲利尔精练效果基准值	艾米精练效果基准值
1533	Green Dance of Evanescence	3	9	0	12	26	0	25	0	24	0	0	27	0	0	0.6	1	1	0.7
1534	White Dance of Evanescence	3	9	0	12	26	0	25	0	24	0	0	27	0	0	0.6	1	1	0.7
1535	Black Dance of Evanescence	3	9	0	12	26	0	25	0	24	0	0	27	0	0	0.6	1	1	0.7
1536	Yellow Dance of Evanescence	3	9	0	12	26	0	25	0	24	0	0	27	0	0	0.6	1	1	0.7
1537	Blue Dance of Evanescence	3	9	0	12	26	0	25	0	24	0	0	27	0	0	0.6	1	1	0.7
0028	Meteor Bow	36	38	0	37	39	0	41	0	40	0	0	42	0	0	0.6	1	1	0.7
0029	Recca Bow	36	38	0	37	39	0	41	0	40	0	0	42	0	0	0.6	1	1	0.7
2331	Darkness Emissary	4	10	0	13	30	0	29	0	28	0	0	31	0	0	0.6	1	1	0.7
2332	Darkness Emissary	4	10	0	13	30	0	29	0	28	0	0	31	0	0	0.6	1	1	0.7
2333	Tear of Hardin	2	8	0	11	22	0	21	0	20	0	0	23	0	0	0.6	1	1	0.7
2334	Tear of Hardin	2	8	0	11	22	0	21	0	20	0	0	23	0	0	0.6	1	1	0.7
2335	Penitent of Asura	4	10	0	13	30	0	29	0	28	0	0	31	0	0	0.6	1	1	0.7
2336	Penitent of Asura	4	10	0	13	30	0	29	0	28	0	0	31	0	0	0.6	1	1	0.7
2337	Abaddon Vanquisher	5	14	0	15	34	0	33	0	32	0	0	35	0	0	0.6	1	1	0.7
2338	Abaddon Vanquisher	5	14	0	15	34	0	33	0	32	0	0	35	0	0	0.6	1	1	0.7
2339	Kiss of Death	36	38	0	37	39	0	41	0	40	0	0	42	0	0	0.6	1	1	0.7
2340	Kiss of Death	36	38	0	37	39	0	41	0	40	0	0	42	0	0	0.6	1	1	0.7
2341	Putrescence Bone of Abyss	7	6	0	1	18	0	17	0	16	0	0	19	0	0	0.6	1	1	0.7
2342	Putrescence Bone of Abyss	7	6	0	1	18	0	17	0	16	0	0	19	0	0	0.6	1	1	0.7
2343	Vow of Styx	7	6	0	1	18	0	17	0	16	0	0	19	0	0	0.6	1	1	0.7
2344	Vow of Styx	7	6	0	1	18	0	17	0	16	0	0	19	0	0	0.6	1	1	0.7
5001	Sword of Azure Flame	3	9	0	12	26	0	25	0	24	0	0	27	0	0	0.6	1	1	0.7
5007	Sword of Crimson Flame	3	9	0	12	26	0	25	0	24	0	0	27	0	0	0.6	1	1	0.7
5008	Sword of Azure Thunder	3	9	0	12	26	0	25	0	24	0	0	27	0	0	0.6	1	1	0.7
5002	Sword of Crimson Thunder	3	9	0	12	26	0	25	0	24	0	0	27	0	0	0.6	1	1	0.7
5456	Sword of August Flame	3	9	0	12	26	0	25	0	24	0	0	27	0	0	0.6	1	1	0.7
5457	Sword of August Thunder	3	9	0	12	26	0	25	0	24	0	0	27	0	0	0.6	1	1	0.7
5458	Sword of Rape Flame	3	9	0	12	26	0	25	0	24	0	0	27	0	0	0.6	1	1	0.7
5459	Sword of Rape Thunder	3	9	0	12	26	0	25	0	24	0	0	27	0	0	0.6	1	1	0.7
5283	Barborosa's Knife	3	9	0	12	26	0	25	0	24	0	0	27	0	0	0.6	1	1	0.7
5284	Barborosa's Fork	3	9	0	12	26	0	25	0	24	0	0	27	0	0	0.6	1	1	0.7
5070	Sword of Cadaver	3	9	0	12	26	0	25	0	24	0	0	27	0	0	0.6	1	1	0.7
5460	Great Hammer Zest	2	8	0	11	22	0	21	0	20	0	0	23	0	0	0.6	1	1	0.7
5461	Great Hammer Hone	2	8	0	11	22	0	21	0	20	0	0	23	0	0	0.6	1	1	0.7
5462	Great Sword of Zest	2	8	0	11	22	0	21	0	20	0	0	23	0	0	0.6	1	1	0.7
5463	Great Sword of Hone	2	8	0	11	22	0	21	0	20	0	0	23	0	0	0.6	1	1	0.7
5071	Great Sword of Cadaver	2	8	0	11	22	0	21	0	20	0	0	23	0	0	0.6	1	1	0.7
5464	Great Sword of Brush	2	8	0	11	22	0	21	0	20	0	0	23	0	0	0.6	1	1	0.7
5465	Firegun of Vinyon	5	14	0	15	34	0	33	0	32	0	0	35	0	0	0.6	1	1	0.7
5466	Firegun of Victorian	5	14	0	15	34	0	33	0	32	0	0	35	0	0	0.6	1	1	0.7
5467	Shotgun of Vinyon	5	14	0	15	34	0	33	0	32	0	0	35	0	0	0.6	1	1	0.7
5468	Shotgun of Victorian	5	14	0	15	34	0	33	0	32	0	0	35	0	0	0.6	1	1	0.7
5072	Firegun of Cadaver	5	14	0	15	34	0	33	0	32	0	0	35	0	0	0.6	1	1	0.7
5281	Pseudo Air Cannon	5	14	0	15	34	0	33	0	32	0	0	35	0	0	0.6	1	1	0.7
5286	Crossbow of Vinyon	5	14	0	15	34	0	33	0	32	0	0	35	0	0	0.6	1	1	0.7
5470	Crossbow of Victorian	5	14	0	15	34	0	33	0	32	0	0	35	0	0	0.6	1	1	0.7
5004	Blade of the Frozen Crescent	4	10	0	13	30	0	29	0	28	0	0	31	0	0	0.6	1	1	0.7
5010	Blade of Burning Crescent	4	10	0	13	30	0	29	0	28	0	0	31	0	0	0.6	1	1	0.7
5212	Dagger of Frozen	4	10	0	13	30	0	29	0	28	0	0	31	0	0	0.6	1	1	0.7
5213	Dagger of Burning	4	10	0	13	30	0	29	0	28	0	0	31	0	0	0.6	1	1	0.7
5074	Dagger of Cadaver	4	10	0	13	30	0	29	0	28	0	0	31	0	0	0.6	1	1	0.7
5282	Oriental Mystic Chopsticks	4	10	0	13	30	0	29	0	28	0	0	31	0	0	0.6	1	1	0.7
5006	Rattle Drum of the Burning Crescent	7	6	0	1	18	0	17	0	16	0	0	19	0	0	0.6	1	1	0.7
5012	Rattle Drum of the Frozen Crescent	7	6	0	1	18	0	17	0	16	0	0	19	0	0	0.6	1	1	0.7
5034	Staff Drum Burning	7	6	0	1	18	0	17	0	16	0	0	19	0	0	0.6	1	1	0.7
5035	Staff Drum Frozen	7	6	0	1	18	0	17	0	16	0	0	19	0	0	0.6	1	1	0.7
5073	Staff of Cadaver	7	6	0	1	18	0	17	0	16	0	0	19	0	0	0.6	1	1	0.7
5280	Soup Spoon	7	6	0	1	18	0	17	0	16	0	0	19	0	0	0.6	1	1	0.7
5276	Foldable Chair	3	9	0	12	26	0	25	0	24	0	0	27	0	0	0.6	1	1	0.7
5285	Matchstick Granny's Pan	3	9	0	12	26	0	25	0	24
