//编号		ICON	模型1	模型2	模型3	模型4	模型5	船标志	船体型号	类型	获得前缀几率	套装编号	精炼等级	安定值	唯一ID	交易	拾取	丢弃	可否删除	是否叠加	是否实例化	价格	体形	角色等级	职业	角色称号	角色名声	道具可装备位置	道具装备所替换位置	道具拾取进入位置判断	Str系数加成	Agi系数加成	Dex系数加成	Con系数加成	Sta系数加成	Luk系数加成	攻击频率系数加成	攻击距离系数加成	最小攻击力系数加成	最大攻击力系数加成	防御系数加成	Mxhp系数加成	Mxsp系数加成	flee系数加成	hit系数加成	crt系数加成	mf系数加成	hrec系数加成	srec系数加成	mspd系数加成	col系数加成	Str常数加成	Agi常数加成	Dex常数加成	Con常数加成	Sta常数加成	Luk常数加成	攻击频率常数加成	攻击距离常数加成	最小攻击力常数加成	最大攻击力常数加成	防御常数加成	Mxhp常数加成	Mxsp常数加成	flee常数加成	hit常数加成	crt常数加成	mf常数加成	hrec常数加成	srec常数加成	mspd常数加成	col常数加成	物理抵抗	道具左手发挥标识	道具能量	耐久	最大实例化洞数	船耐久恢复	可装炮数量	船员人数	人员标配	货舱容量	补给消耗	炮弹飞行速度	船移动速度	使用效果	挥舞特效	道具捆绑特效	道具捆绑特效dummy	道具显示特效(道具放在物品栏第一格的显示特效)	道具掉落模型特效	道具使用特效	描述（道具等级）	备注
0337	探索衣服	e0145	10110002	0000340002	0	0002730002	0	0	00	22	10	0	0	0	1	1	1	1	1	1	1	10425	1,3	25	4,16	0	0	2	-1	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	170,190	0,0	0,0	0,10	0,10	0,10	0,10	0,10	0,0	0,0	0,0	0,0	0,0	10,20	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	10,12	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0338	冒险衣服	e0145	10110002	0000340002	0	0002730002	0	0	00	22	10	0	0	0	1	1	1	1	1	1	1	7050	1,3	20	4,16	0	0	2	-1	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	140,170	0,0	0,0	0,10	0,10	0,10	0,10	0,10	0,0	0,0	0,0	0,0	0,0	8,18	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	8,10	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0339	舵手衣服	e0147	10110002	0000360002	0	0002750002	0	0	00	22	10	0	0	0	1	1	1	1	1	1	1	19925	1,3	35	4,16	0	0	2	-1	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	210,230	0,0	0,0	0,11	0,11	0,11	0,11	0,11	0,0	0,0	0,0	0,0	0,0	14,26	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	14,16	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0340	浆手衣服	e0147	10110002	0000360002	0	0002750002	0	0	00	22	10	0	0	0	1	1	1	1	1	1	1	15050	1,3	30	4,16	0	0	2	-1	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	190,210	0,0	0,0	0,11	0,11	0,11	0,11	0,11	0,0	0,0	0,0	0,0	0,0	12,24	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	12,14	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0341	甲板衣服	e0148	10110002	0000370002	0	0002760002	0	0	00	22	10	0	0	0	1	1	1	1	1	1	1	26050	1,3	40	16	0	0	2	-1	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	230,260	0,0	0,0	0,12	0,12	0,12	0,12	0,12	0,0	0,0	0,0	0,0	0,0	16,28	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	16,18	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0342	桅杆衣服	e0148	10110002	0000370002	0	0002760002	0	0	00	22	10	0	0	0	1	1	1	1	1	1	1	32425	1,3	45	16	0	0	2	-1	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	260,280	0,0	0,0	0,12	0,12	0,12	0,12	0,12	0,0	0,0	0,0	0,0	0,0	17,29	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	18,20	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0343	飓风衣服	e0152	10110002	0000460002	0	0002850002	0	0	00	22	10	0	0	0	1	1	1	1	1	1	1	47925	1,3	55	16	0	0	2	-1	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	300,320	0,0	0,0	0,14	0,14	0,14	0,14	0,14	0,0	0,0	0,0	0,0	0,0	20,32	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	22,24	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0344	漩涡衣服	e0152	10110002	0000470002	0	0002860002	0	0	00	22	10	0	0	0	1	1	1	1	1	1	1	57050	1,3	60	16	0	0	2	-1	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	320,340	0,0	0,0	0,15	0,15	0,15	0,15	0,15	0,0	0,0	0,0	0,0	0,0	22,35	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	24,26	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0345	风之衣服	e0152	10110002	0000410002	0	0002800002	0	0	00	22	10	0	0	0	1	1	1	1	1	1	1	40050	1,3	50	16	0	0	2	-1	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	280,300	0,0	0,0	0,13	0,13	0,13	0,13	0,13	0,0	0,0	0,0	0,0	0,0	19,30	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	20,22	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0346	闪电之眼	r0015	10130005	0	0	0	0	0	00	26	0	0	0	0	0	1	1	1	1	1	1	226970	-1	50	-1	0	0	7,8	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0	8,8	0,0	2,2	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0,1000	10000,10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0347	光之翼	r0015	10130005	0	0	0	0	0	00	26	0	0	0	0	0	1	1	1	1	1	1	226970	-1	50	-1	0	0	7,8	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2,2	0,0	8,8	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0,1000	10000,10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0348	晨钟	r0015	10130005	0	0	0	0	0	00	26	0	0	0	0	0	1	1	1	1	1	1	226970	-1	50	-1	0	0	7,8	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0	0,0	0,0	8,8	2,2	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0,1000	10000,10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0349	天籁	r0015	10130005	0	0	0	0	0	00	26	0	0	0	0	0	1	1	1	1	1	1	226970	-1	50	-1	0	0	7,8	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0	0,0	0,0	2,2	8,8	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0,1000	10000,10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0350	螃蟹衣服	e0157	10110002	0	0	0	0003010002	0	00	22	10	0	0	0	1	1	1	1	1	1	1	15050	4	30	4,16	0	0	2	-1	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	190,210	0,0	0,0	0,11	0,11	0,11	0,11	0,11	0,0	0,0	0,0	0,0	0,0	12,22	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	12,14	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0351	乖乖鼠衣服	e0187	10110002	0	0	0	0003160002	0	00	22	10	0	0	0	1	1	1	1	1	1	1	3925	4	15	4,16	0	0	2	-1	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	120,140	0,0	0,0	0,10	0,10	0,10	0,10	0,10	0,0	0,0	0,0	0,0	0,0	6,16	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	6,8	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0352	调皮浣熊衣服	e0193	10110002	0	0	0	0003220002	0	00	22	10	0	0	0	1	1	1	1	1	1	1	10425	4	25	4,16	0	0	2	-1	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	170,190	0,0	0,0	0,10	0,10	0,10	0,10	0,10	0,0	0,0	0,0	0,0	0,0	10,20	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	10,12	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0353	小鸭衣服	e0160	10110002	0	0	0	0003040002	0	00	22	10	0	0	0	1	1	1	1	1	1	1	26050	4	40	16	0	0	2	-1	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	230,260	0,0	0,0	0,12	0,12	0,12	0,12	0,12	0,0	0,0	0,0	0,0	0,0	16,28	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	16,18	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0354	巨蟹衣服	e0157	10110002	0	0	0	0003010002	0	00	22	10	0	0	0	1	1	1	1	1	1	1	19925	4	35	4,16	0	0	2	-1	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	210,230	0,0	0,0	0,11	0,11	0,11	0,11	0,11	0,0	0,0	0,0	0,0	0,0	14,25	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	14,16	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0355	龙虾衣服	e0162	10110002	0	0	0	0003060002	0	00	22	10	0	0	0	1	1	1	1	1	1	1	40050	4	50	16	0	0	2	-1	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	280,300	0,0	0,0	0,13	0,13	0,13	0,13	0,13	0,0	0,0	0,0	0,0	0,0	19,30	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	20,22	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0356	摇摆鸭衣服	e0160	10110002	0	0	0	0003040002	0	00	22	10	0	0	0	1	1	1	1	1	1	1	32425	4	45	16	0	0	2	-1	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	260,280	0,0	0,0	0,12	0,12	0,12	0,12	0,12	0,0	0,0	0,0	0,0	0,0	17,27	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	18,20	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0357	大海虾衣服	e0162	10110002	0	0	0	0003330002	0	00	22	10	0	0	0	1	1	1	1	1	1	1	47925	4	55	16	0	0	2	-1	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	300,320	0,0	0,0	0,14	0,14	0,14	0,14	0,14	0,0	0,0	0,0	0,0	0,0	20,31	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	22,24	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0358	巨钳海虾衣服	e0162	10110002	0	0	0	0003340002	0	00	22	10	0	0	0	1	1	1	1	1	1	1	57050	4	60	16	0	0	2	-1	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	320,340	0,0	0,0	0,15	0,15	0,15	0,15	0,15	0,0	0,0	0,0	0,0	0,0	22,34	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	24,26	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0359	小绵羊衣服	e0190	10110002	0	0	0	0003190002	0	00	22	10	0	0	0	1	1	1	1	1	1	1	3925	4	15	5,13,14	0	0	2	-1	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	120,140	0,0	0,0	0,10	0,10	0,10	0,10	0,10	0,0	0,0	0,0	0,0	0,0	6,16	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	4,5	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0360	细致小猫衣服	e0188	10110002	0	0	0	0003170002	0	00	22	10	0	0	0	1	1	1	1	1	1	1	10425	4	25	5,13,14	0	0	2	-1	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	170,190	0,0	0,0	0,10	0,10	0,10	0,10	0,10	0,0	0,0	0,0	0,0	0,0	10,20	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	6,8	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0361	夜枭衣服	e0196	10110002	0	0	0	0003250002	0	00	22	10	0	0	0	1	1	1	1	1	1	1	19925	4	35	5,13,14	0	0	2	-1	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	210,230	0,0	0,0	0,11	0,11	0,11	0,11	0,11	0,0	0,0	0,0	0,0	0,0	14,24	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	9,10	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0362	蹦蹦鼠衣服	e0197	10110002	0	0	0	0003260002	0	00	22	10	0	0	0	1	1	1	1	1	1	1	32425	4	45	14	0	0	2	-1	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	260,280	0,0	0,0	0,12	0,12	0,12	0,12	0,12	0,0	0,0	0,0	0,0	0,0	17,29	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	12,13	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0363	高级海獭衣服	e0192	10110002	0	0	0	0003410002	0	00	22	10	0	0	0	1	1	1	1	1	1	1	47925	4	55	14	0	0	2	-1	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	300,320	0,0	0,0	0,14	0,14	0,14	0,14	0,14	0,0	0,0	0,0	0,0	0,0	20,32	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	14,16	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0364	祝福海獭衣服	e0192	10110002	0	0	0	0003300002	0	00	22	10	0	0	0	1	1	1	1	1	1	1	57050	4	60	14	0	0	2	-1	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	320,340	0,0	0,0	0,15	0,15	0,15	0,15	0,15	0,0	0,0	0,0	0,0	0,0	22,32	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	16,18	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0365	护理衣服	e0172	10110002	0	0	0002310002	0	0	00	22	10	0	0	0	1	1	1	1	1	1	1	2050	3	10	5,13,14	0	0	2	-1	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	100,120	0,0	0,0	0,10	0,10	0,10	0,10	0,10	0,0	0,0	0,0	0,0	0,0	4,14	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	2,4	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0366	修行衣服	e0173	10110002	0	0	0002320002	0	0	00	22	10	0	0	0	1	1	1	1	1	1	1	7050	3	20	5,13,14	0	0	2	-1	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	140,170	0,0	0,0	0,10	0,10	0,10	0,10	0,10	0,0	0,0	0,0	0,0	0,0	8,18	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	5,6	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0367	旅者衣服	e0174	10110002	0	0	0002330002	0	0	00	22	10	0	0	0	1	1	1	1	1	1	1	26050	3	40	14	0	0	2	-1	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	230,260	0,0	0,0	0,12	0,12	0,12	0,12	0,12	0,0	0,0	0,0	0,0	0,0	16,28	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	10,12	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0368	护士衣服	e0175	10110002	0	0	0002340002	0	0	00	22	10	0	0	0	1	1	1	1	1	1	1	15050	3	30	5,13,14	0	0	2	-1	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	190,210	0,0	0,0	0,11	0,11	0,11	0,11	0,11	0,0	0,0	0,0	0,0	0,0	12,23	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	8,9	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0369	侍者衣服	e0176	10110002	0	0	0002350002	0	0	00	22	10	0	0	0	1	1	1	1	1	1	1	40050	3	50	14	0	0	2	-1	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	280,300	0,0	0,0	0,13	0,13	0,13	0,13	0,13	0,0	0,0	0,0	0,0	0,0	19,32	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	13,14	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0370	圣职衣服	e0177	10110002	0	0	0002360002	0	0	00	22	10	0	0	0	1	1	1	1	1	1	1	26050	3	40	13	0	0	2	-1	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	230,260	0,0	0,0	0,12	0,12	0,12	0,12	0,12	0,0	0,0	0,0	0,0	0,0	16,28	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	10,12	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0371	信仰衣服	e0178	10110002	0	0	0002370002	0	0	00	22	10	0	0	0	1	1	1	1	1	1	1	40050	3	50	13	0	0	2	-1	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	280,300	0,0	0,0	0,13	0,13	0,13	0,13	0,13	0,0	0,0	0,0	0,0	0,0	19,32	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	13,14	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0372	看护者衣服	e0172	10110002	0	0	0002310002	0	0	00	22	10	0	0	0	1	1	1	1	1	1	1	3925	3	15	5,13,14	0	0	2	-1	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	120,140	0,0	0,0	0,10	0,10	0,10	0,10	0,10	0,0	0,0	0,0	0,0	0,0	6,16	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	4,5	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0373	学士衣服	e0173	10110002	0	0	0002320002	0	0	00	22	10	0	0	0	1	1	1	1	1	1	1	10425	3	25	5,13,14	0	0	2	-1	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	170,190	0,0	0,0	0,10	0,10	0,10	0,10	0,10	0,0	0,0	0,0	0,0	0,0	10,20	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	6,8	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0374	急救衣服	e0175	10110002	0	0	0002340002	0	0	00	22	10	0	0	0	1	1	1	1	1	1	1	19925	3	35	5,13,14	0	0	2	-1	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	210,230	0,0	0,0	0,11	0,11	0,11	0,11	0,11	0,0	0,0	0,0	0,0	0,0	14,25	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	9,10	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0375	远行衣服	e0174	10110002	0	0	0002330002	0	0	00	22	10	0	0	0	1	1	1	1	1	1	1	32425	3	45	14	0	0	2	-1	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	260,280	0,0	0,0	0,12	0,12	0,12	0,12	0,12	0,0	0,0	0,0	0,0	0,0	17,29	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	12,13	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0376	治疗者衣服	e0176	10110002	0	0	0002810002	0	0	00	22	10	0	0	0	1	1	1	1	1	1	1	47925	3	55	14	0	0	2	-1	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	300,320	0,0	0,0	0,14	0,14	0,14	0,14	0,14	0,0	0,0	0,0	0,0	0,0	20,32	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	14,16	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0377	保护者衣服	e0176	10110002	0	0	0002820002	0	0	00	22	10	0	0	0	1	1	1	1	1	1	1	57050	3	60	14	0	0	2	-1	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	320,340	0,0	0,0	0,15	0,15	0,15	0,15	0,15	0,0	0,0	0,0	0,0	0,0	22,32	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	16,18	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0378	虔诚衣服	e0177	10110002	0	0	0002360002	0	0	00	22	10	0	0	0	1	1	1	1	1	1	1	32425	3	45	13	0	0	2	-1	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	260,280	0,0	0,0	0,12	0,12	0,12	0,12	0,12	0,0	0,0	0,0	0,0	0,0	17,29	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	12,13	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0379	祈愿衣服	e0178	10110002	0	0	0002830002	0	0	00	22	10	0	0	0	1	1	1	1	1	1	1	47925	3	55	13	0	0	2	-1	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	300,320	0,0	0,0	0,14	0,14	0,14	0,14	0,14	0,0	0,0	0,0	0,0	0,0	20,32	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	14,16	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0380	大耳鼠衣服	e0187	10110002	0	0	0	0003160002	0	00	22	10	0	0	0	1	1	1	1	1	1	1	2050	4	10	4,16	0	0	2	-1	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	100,120	0,0	0,0	0,10	0,10	0,10	0,10	0,10	0,0	0,0	0,0	0,0	0,0	4,14	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	4,6	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
