// 场景物件类型表												
// 类型目前共有7种												
//SCENEOBJ_TYPE_NORMAL      = 0   普通物体												
//SCENEOBJ_TYPE_POSE              = 1  场景互动动作物体												
//SCENEOBJ_TYPE_TERRAIN       = 2  地形障碍标记物体												
//SCENEOBJ_TYPE_POINTLIGHT = 3  点光源												
//SCENEOBJ_TYPE_ENVLIGHT     =  4  环境光源												
//SCENEOBJ_TYPE_FOG                =  5  发雾器												
//SCENEOBJ_TYPE_ENVSOUND   = 6  Surround Sound Effect												
//平行光照 : 是否受平行光的影响												
//点光照     : 是否受点光源影响												
// Style: 编辑器里美术风格分类												
//ID	模型文件名	中文名称	类型	类型参数1	类型参数2	Special Parameter	平行光影响	点光源影响	风格	Sign	背景色开关	受地表阴影印象
314	nml-bd036.lmo	Bench 01	0	0	0	0	1	0	1	0	1	0
315	nml-bd035.lmo	Flower 04	0	0	0	0	1	0	8	0	1	0
316	nml-bd034.lmo	草06	0	0	0	0	0	0	8	0	0	1
317	nml-bd033.lmo	Blossom 02	0	0	0	0	1	0	8	0	1	1
318	nml-bd032.lmo	Flower 01	0	0	0	0	1	0	8	0	1	1
319	nml-bd031.lmo	草花丛01	0	0	0	0	1	0	8	0	1	0
320	nml-bd030.lmo	Flower Pot 03	0	0	0	0	1	0	9	0	1	1
321	nml-bd029.lmo	Flower Pot 02	0	0	0	0	1	0	9	0	1	1
322	nml-bd028.lmo	Flower Pot 01	0	0	0	0	1	0	9	0	1	1
323	nml-bd027.lmo	花园01	0	0	0	0	1	0	9	0	1	0
324	nml-bd026.lmo	Withered Trunk 01	0	0	0	0	1	0	8	0	1	1
325	nml-bd025.lmo	草04	0	0	0	0	0	0	8	0	0	1
326	nml-bd024.lmo	草03	0	0	0	0	1	0	8	0	1	0
327	nml-bd023.lmo	草02	0	0	0	0	1	0	8	0	1	0
328	nml-bd022.lmo	草01	0	0	0	0	0	0	8	0	1	0
329	nml-bd021.lmo	Tree 09	0	0	0	0	1	0	8	0	1	0
330	nml-bd020.lmo	Tree 08	0	0	0	0	1	0	8	0	1	0
331	nml-bd019.lmo	Tree 07	0	0	0	0	1	0	8	0	1	0
332	nml-bd018.lmo	花08	0	0	0	0	1	0	8	0	1	0
333	nml-bd017.lmo	Tree 05	0	0	0	0	1	0	8	0	1	0
334	nml-bd049.lmo	沙滩小铺01	0	0	0	0	1	0	9	0	1	0
335	nml-bd015.lmo	树03	0	0	0	0	1	0	8	0	1	0
336	nml-bd014.lmo	树02	0	0	0	0	1	0	8	0	1	0
337	nml-bd013.lmo	树01	0	0	0	0	1	0	8	0	1	0
338	nml-bd012.lmo	Road Notice 03	0	0	0	0	1	0	9	0	1	0
339	nml-bd011.lmo	路条02	0	0	0	0	1	0	9	0	1	0
340	nml-bd010.lmo	路条01	0	0	0	0	1	0	9	0	1	0
341	nml-bd009.lmo	大木箱01	0	0	0	0	1	0	9	0	1	1
342	nml-bd008.lmo	Big Chest 01	0	0	0	0	1	0	9	0	1	1
343	nml-bd007.lmo	鸟船01	0	0	0	0	1	0	9	0	1	1
344	nml-bd050.lmo	树桩01	0	0	0	0	1	0	8	0	1	0
345	nml-bd006.lmo	水果车01	0	0	0	0	1	0	1	0	1	0
346	nml-bd005.lmo	酒桶01	0	0	0	0	1	0	9	0	1	0
347	nml-bd004.lmo	Wooden Barrel 01	0	0	0	0	1	0	9	0	1	0
348	nml-bd003.lmo	木箱群01	0	0	0	0	1	0	9	0	1	1
349	nml-bd002.lmo	水果箱01	0	0	0	0	1	0	9	0	1	0
350	nml-bd001.lmo	小木箱01	0	0	0	0	1	0	9	0	1	0
351	yyyy001.lmo	Sit 1	1	0	0	0	1	0	200	0	1	0
352	yyyy002.lmo	靠1	1	0	0	0	1	0	200	0	1	0
353	yyyy003.lmo	不可走7	2	0	0	0	1	0	200	0	1	0
354	yyyy004.lmo	可走7	2	0	0	0	1	0	200	0	1	0
355	yyyy005.lmo	Passable 3	2	0	0	0	1	0	200	0	1	0
356	yyyy006.lmo	不可走3	2	0	0	0	1	0	200	0	1	0
400	yyyy007.lmo	Lamp 01	3	0,255,0	10,1,2	0	1	0	200	0	1	0
401	yyyy007.lmo	Lamp 02	3	0,255,0	10,1,0	0	1	0	200	0	1	0
402	yyyy007.lmo	Lamp 03	3	0,18,255	10,1,3	0	1	0	200	0	1	0
403	yyyy007.lmo	Lamp 04	3	27,80,250	10,1,1	0	1	0	200	0	1	0
404	yyyy007.lmo	Lmap 05	3	248,228,137	3.5,1,6	0	1	0	200	0	1	0
405	yyyy007.lmo	Lamp 06	3	60,69,137	10,1,5	0	1	0	200	0	1	0
406	yyyy007.lmo	Lamp 07	3	248,228,137	3,1,4	0	1	0	200	0	1	0
407	yyyy007.lmo	Lamp 08	3	250,120,50	6,1,7	0	1	0	200	0	1	0
408	yyyy007.lmo	Lamp 09	3	25,226,153	3,1,8	0	1	0	200	0	1	0
421	nml-bd154.lmo	木码头组件01	0	0	0	0	1	1	9	0	1	1
422	nml-bd155.lmo	木码头组件02	0	0	0	0	1	1	9	0	1	1
423	nml-bd156.lmo	木码头组件03	0	0	0	0	1	1	9	0	1	1
424	nml-bd157.lmo	木码头组件04	0	0	0	0	1	1	9	0	1	1
425	nml-bd158.lmo	冰山01	0	0	0	0	1	1	9	0	1	1
426	nml-bd159.lmo	冰山02	0	0	0	0	1	1	9	0	1	1
427	nml-bd160.lmo	海洋墓场01	0	0	0	0	1	1	9	0	1	1
428	nml-bd161.lmo	海洋墓场02	0	0	0	0	1	1	9	0	1	1
429	nml-bd162.lmo	海洋墓场03	0	0	0	0	1	1	9	0	1	1
430	nml-bd163.lmo	废矿入口01	0	7,0,1,2,3,4,5,6	0	0	0	0	9	0	1	0
431	nml-bd164.lmo	Floating Ball 01	0	0	0	0	1	1	9	0	1	1
432	nml-bd165.lmo	海上浮板01	0	0	0	0	1	1	9	0	1	1
433	nml-bd166.lmo	转转树01	0	0	0	0	1	1	8	0	1	1
434	nml-bd167.lmo	Fish Swarm 01	0	0	0	0	1	1	9	0	1	1
435	login.lmo	Login Interface	0	0	0	0	0	0	0	0	1	0
436	nml-bd169.lmo	Dried Wood 01	0	0	0	0	1	1	8	0	1	1
437	nml-bd170.lmo	Mushroom 01	0	0	0	0	1	1	8	0	1	1
438	nml-bd171.lmo	荧光草01	0	0	0	0	1	1	8	0	1	1
439	nml-bd168.lmo	Yellow Grass 01	0	0	0	0	1	1	8	0	1	1
440	mz-bd026.lmo	沙漠迷宫门01	0	9,7,8,9,10,11,12,13,14,15	0	0	0	0	7	0	1	0
441	nml-bd172.lmo	沙漠迷宫树01	0	0	0	0	0	1	8	0	1	1
442	mz-bd027.lmo	沙漠迷宫部件01	0	0	0	0	0	1	7	0	1	1
443	mz-bd028.lmo	沙漠迷宫部件02	0	0	0	0	0	1	7	0	1	1
444	mz-bd029.lmo	沙漠迷宫部件03	0	0	0	0	0	1	7	0	1	1
445	mz-bd030.lmo	沙漠迷宫部件04	0	0	0	0	0	1	7	0	1	1
446	nml-bd173.lmo	大叶树01	0	0	0	0	1	1	8	0	1	1
447	nml-bd174.lmo	大枯树01	0	0	0	0	1	1	8	0	1	1
448	nml-bd175.lmo	Small Tree 01	0	0	0	0	1	1	8	0	1	1
449	by-bd041.lmo	白银码头酒吧01	0	11,16,17,18,19,20,21,22,23,24,25,26	0	0	0	0	1	0	1	0
450	nml-bd176.lmo	森林迷宫组件01	0	0	0	0	1	1	7	0	1	1
451	nml-bd177.lmo	森林迷宫组件02	0	0	0	0	1	1	7	0	1	1
452	nml-bd178.lmo	森林迷宫组件03	0	0	0	0	1	1	7	0	1	1
453	nml-bd179.lmo	Forest Maze Module 04	0	0	0	0	1	1	7	0	1	1
454	nml-bd180.lmo	Forest Maze Module 05	0	0	0	0	1	1	7	0	1	1
455	nml-bd181.lmo	森林迷宫组件06	0	0	0	0	1	1	7	0	1	1
456	nml-bd182.lmo	森林迷宫组件07	0	0	0	0	1	1	7	0	1	1
457	nml-bd183.lmo	黄草01	0	0	0	0	1	1	8	0	1	1
458	nml-bd184.lmo	Little Grass 01	0	0	0	0	0	0	8	0	0	1
459	nml-bd185.lmo	Rosebush 01	0	0	0	0	1	1	8	0	1	1
460	nml-bd186.lmo	Autumn Grass 01	0	0	0	0	0	0	8	0	0	1
461	nml-bd187.lmo	直立小叶树01	0	0	0	0	1	1	8	0	1	1
462	nml-bd188.lmo	夏岛小木屋01	0	0	0	0	1	1	9	0	1	1
463	nml-bd189.lmo	夏岛瀑布组件01	0	0	0	0	0	0	9	0	1	0
464	nml-bd190.lmo	夏岛瀑布组件02	0	0	0	0	0	0	9	0	1	0
465	nml-bd191.lmo	夏岛瀑布组件03	0	0	0	0	0	0	9	0	1	0
466	nml-bd192.lmo	落叶01	0	0	0	0	0	0	9	0	1	0
467	nml-bd193.lmo	落叶02	0	0	0	0	0	0	9	0	1	0
468	nml-bd194.lmo	落叶03	0	0	0	0	0	0	9	0	1	0
469	by-bd019.lmo	白银城码头门01	0	0	0	0	1	1	1	0	1	0
470	nml-bd195.lmo	码头雕像01	0	0	0	0	1	1	9	0	1	0
471	by-bd028.lmo	白银城小码头01	0	0	0	0	1	1	1	0	1	0
472	by-bd029.lmo	白银银行招牌01	0	0	0	0	1	1	1	0	1	0
473	by-bd030.lmo	白银酒吧招牌01	0	0	0	0	1	1	1	0	1	0
474	by-bd031.lmo	白银武器店招牌01	0	0	0	0	1	1	1	0	1	0
475	by-bd032.lmo	白银药店招牌01	0	0	0	0	1	1	1	0	1	0
476	by-bd033.lmo	白银杂货店招牌01	0	0	0	0	1	1	1	0	1	0
477	by-bd034.lmo	白银服装店招牌01	0	0	0	0	1	1	1	0	1	0
478	by-bd035.lmo	白银商会招牌01	0	0	0	0	1	1	1	0	1	0
480	yyyy080.lmo	海浪音效	6	env_surf	2500	0	1	0	200	0	1	0
481	yyyy080.lmo	虫鸣音效	6	env_insect	2500	0	1	0	200	0	1	0
482	yyyy080.lmo	蝉鸣音效	6	env_cicada	2500	0	1	0	200	0	1	0
483	yyyy080.lmo	Chirping Sound Effect 1	6	env_bird1	2500	0	1	0	200	0	1	0
484	yyyy080.lmo	Chirping Sound 2	6	env_bird2	2500	0	1	0	200	0	1	0
485	yyyy080.lmo	Chilling Sound Effect	6	env_bise	2500	0	1	0	200	0	1	0
486	yyyy080.lmo	船厂音效	6	env_ship	2500	0	1	0	200	0	1	0
487	yyyy080.lmo	工厂音效	6	env_BlackSmith	2500	0	1	0	200	0	1	0
488	yyyy080.lmo	喷水池音效	6	env_fountain	2500	0	1	0	200	0	1	0
489	yyyy080.lmo	溪流音效	6	env_ghyll	2500	0	1	0	200	0	1	0
501	by-bd042.lmo	新路标01	0	0	0	0	1	0	1	0	1	0
502	by-bd043.lmo	Argent Ship Factory Signboard 01	0	0	0	0	1	0	1	0	1	0
503	by-bd044.lmo	海军事务所牌01	0	0	0	0	1	0	1	0	1	0
504	bl-bd018.lmo	冰狼码头组件01	0	0	0	0	1	0	4	0	1	1
505	bl-bd019.lmo	冰狼码头组件02	0	0	0	0	1	0	4	0	1	1
506	bl-bd020.lmo	冰狼码头组件03	0	0	0	0	1	0	4	0	1	1
507	by-bd045.lmo	白银海军招募牌01	0	0	0	0	1	0	1	0	1	0
508	by-bd046.lmo	白银通辑令牌01	0	0	0	0	1	0	1	0	1	0
509	nml-bd196.lmo	Lighthouse 01	0	0	0	0	1	1	9	0	1	0
510	nml-bd197.lmo	Buoy 01	0	0	0	0	1	1	9	0	1	0
511	nml-bd198.lmo	浮球01	0	0	0	0	1	1	9	0	1	0
512	login02.lmo	登陆界面2	0	0	0	0	0	0	0	0	1	0
513	nml-bd199.lmo	Butterfly 01	0	0	0	0	1	0	9	0	1	0
514	nml-bd200.lmo	浮标02	0	0	0	0	1	1	9	0	1	0
515	by-bd047.lmo	白银城交易所01	0	8,0,1,2,3,4,5,6,7	0	0	1	0	1	0	1	0
516	by-bd048.lmo	白银交易所招牌01	0	0	0	0	1	1	1	0	1	0
517	sl-bd042.lmo	沙岚交易所01	0	10,0,1,2,3,4,5,6,7,8,9	0	0	1	1	3	0	1	0
518	nml-bd201.lmo	码头指示01	0	0	0	0	1	1	9	0	1	0
519	lt-bd039.lmo	Thundoria Trading Post 01	0	9,0,1,2,3,4,5,6,7,8	0	0	0	0	2	0	1	0
520	bl-bd021.lmo	Icicle Trading Post 01	0	8,0,1,2,3,4,5,6,7	0	0	1	1	4	0	1	1
521	sl-bd043.lmo	沙岚码头04	0	0	0	0	1	1	3	0	1	0
522	sl-bd044.lmo	沙岚码头05	0	0	0	0	1	1	3	0	1	0
523	cc-bd001.lmo	春城钟楼01	0	0	0	0	1	1	5	0	1	0
524	cc-bd002.lmo	春城客栈01	0	0	0	0	1	1	5	0	1	0
525	cc-bd003.lmo	春城围墙01	0	0	0	0	1	1	5	0	1	0
526	cc-bd004.lmo	春城围墙02	0	0	0	0	1	1	5	0	1	0
527	cc-bd005.lmo	春城围墙03	0	0	0	0	1	1	5	0	1	0
528	cc-bd006.lmo	春城围墙04	0	0	0	0	1	1	5	0	1	0
529	cc-bd007.lmo	春城风车01	0	0	0	0	1	1	5	0	1	0
530	cc-bd008.lmo	春城民居01	0	0	0	0	1	1	5	0	1	0
531	cc-bd009.lmo	春城松树围栏01	0	0	0	0	1	1	5	0	1	0
532	cc-bd010.lmo	春城灯箱01	0	0	0	0	1	1	5	0	1	0
533	cc-bd011.lmo	春城旗杆01	0	0	0	0	1	1	5	0	1	0
534	cc-bd012.lmo	春城松树01	0	0	0	0	1	1	5	0	1	0
535	cc-bd013.lmo	Spring Town Temple 01	0	0	0	0	1	1	5	0	1	0
536	cc-bd014.lmo	春城奈何桥01	0	0	0	0	1	1	5	0	1	0
537	cc-bd015.lmo	春城Bun 铺01	0	0	0	0	1	1	5	0	1	0
538	cc-bd016.lmo	Spring Town Butcher 01	0	0	0	0	1	1	5	0	1	0
539	cc-bd017.lmo	Spring Town Rock 01	0	0	0	0	1	1	5	0	1	0
540	cc-bd018.lmo	春城Lantern 01	0	0	0	0	1	1	5	0	1	0
541	cc-bd019.lmo	春城Lantern 02	0	0	0	0	1	1	5	0	1	0
542	cc-bd020.lmo	春城沙包01	0	0	0	0	1	1	5	0	1	1
543	cc-bd021.lmo	春城圆底座01	0	0	0	0	1	1	5	0	1	1
544	cc-bd022.lmo	春城纸灯箱01	0	0	0	0	1	1	5	0	1	0
545	cc-bd023.lmo	春城民居02	0	0	0	0	1	1	5	0	1	0
546	cc-bd024.lmo	春城地砖01	0	0	0	0	1	1	5	0	1	0
547	cc-bd025.lmo	春城水中亭01	0	0	0	0	1	1	5	0	1	1
548	cc-bd026.lmo	春城水中亭引桥01	0	0	0	0	1	1	5	0	1	0
549	cc-bd027.lmo	Spring Town Pillar 01	0	0	0	0	1	1	5	0	1	0
550	cc-bd028.lmo	春城石头栏杆02	0	0	0	0	1	1	5	0	1	0
551	cc-bd029.lmo	春城交易所01	0	1,2	0	0	0	0	5	0	1	0
552	cc-bd030.lmo	春城粉色树01	0	0	0	0	1	1	5	0	1	0
553	cc-bd031.lmo	春城石块02	0	0	0	0	1	1	5	0	1	0
554	cc-bd032.lmo	春城民居03	0	0	0	0	1	1	5	0	1	0
555	cc-bd033.lmo	春城围栏01	0	0	0	0	1	1	5	0	1	0
556	cc-bd034.lmo	春城围栏02	0	0	0	0	1	1	5	0	1	0
557	cc-bd035.lmo	春城围栏03	0	0	0	0	1	1	5	0	1	0
558	cc-bd036.lmo	春城荷花01	0	0	0	0	1	1	5	0	1	0
559	cc-bd037.lmo	Spring Town Bamboo Shoot 01	0	0	0	0	1	1	5	0	1	1
560	cc-bd038.lmo	Spring Town Bamboo Shoot 02	0	0	0	0	1	1	5	0	1	1
561	cc-bd039.lmo	春城篱笆01	0	0	0	0	1	1	5	0	1	1
562	cc-bd040.lmo	春城码头01	0	0	0	0	1	1	5	0	1	1
563	cc-bd041.lmo	春城Lantern 03	0	0	0	0	1	1	5	0	1	1
564	cc-bd042.lmo	春城船厂物件01	0	0	0	0	1	1	5	0	1	0
565	cc-bd043.lmo	春城船厂物件02	0	0	0	0	1	1	5	0	1	0
566	cc-bd044.lmo	春城下水道01	0	0	0	0	0	1	5	0	1	1
567	cc-bd045.lmo	春城下水道02	0	0	0	0	0	1	5	0	1	1
568	cc-bd046.lmo	春城下水道03	0	0	0	0	0	1	5	0	1	1
569	cc-bd047.lmo	春城下水道04	0	0	0	0	0	1	5	0	1	1
570	mz-bd099.lmo	迷宫黑墙02	0	0	0	0	0	1	7	0	1	1
571	cc-bd049.lmo	春城下水道05	0	0	0	0	0	1	5	0	1	1
572	cc-bd050.lmo	下水道杂物01	0	0	0	0	0	1	5	0	1	1
573	cc-bd051.lmo	Underground Tunnel Sundries 02	0	0	0	0	0	1	5	0	1	1
574	cc-bd052.lmo	Underground Tunnel Sundries 03	0	0	0	0	0	1	5	0	1	1
575	cc-bd053.lmo	Dirty Bottle 01	0	0	0	0	0	1	5	0	1	1
576	cc-bd054.lmo	人骸骨01	0	0	0	0	0	1	5	0	1	1
577	cc-bd055.lmo	春城船厂物件03	0	0	0	0	1	1	5	0	1	0
578	cc-bd056.lmo	春城小水桶01	0	0	0	0	1	1	5	0	1	0
579	cc-bd057.lmo	春城木堆01	0	0	0	0	1	1	5	0	1	0
580	cc-bd058.lmo	海底隧道01	0	0	0	0	0	1	5	0	1	1
581	cc-bd059.lmo	海底隧道02	0	0	0	0	0	1	5	0	1	1
582	cc-bd060.lmo	海中鱼群02	0	0	0	0	0	1	5	0	1	1
583	cc-bd061.lmo	海底隧道03	0	0	0	0	0	1	5	0	1	1
584	cc-bd062.lmo	海底隧道04	0	0	0	0	0	1	5	0	1	1
585	cc-bd063.lmo	海底隧道05	0	0	0	0	0	1	5	0	1	1
586	cc-bd064.lmo	海底隧道06	0	0	0	0	0	1	5	0	1	1
587	nml-bd202.lmo	沼泽树01	0	0	0	0	1	1	8	0	1	1
588	nml-bd203.lmo	沼泽倒树01	0	0	0	0	1	1	8	0	1	1
589	cc-bd067.lmo	春城石头栏杆03	0	0	0	0	1	1	5	0	1	0
590	cc-bd068.lmo	脚印01	0	0	0	0	1	1	5	0	1	1
591	cc-bd069.lmo	春城水中石头01	0	0	0	0	1	1	5	0	1	0
592	nml-bd204.lmo	沼泽石头01	0	0	0	0	1	0	9	0	1	1
593	nml-bd205.lmo	残废之都组件01	0	0	0	0	1	1	7	0	1	1
594	nml-bd206.lmo	残废之都组件02	0	0	0	0	1	1	7	0	1	1
595	nml-bd207.lmo	残废之都组件03	0	0	0	0	1	1	7	0	1	1
596	nml-bd208.lmo	City of Cripple Module 04	0	0	0	0	1	1	7	0	1	1
597	nml-bd209.lmo	残废之都组件05	0	0	0	0	1	1	7	0	1	1
598	nml-bd210.lmo	残废之都组件06	0	0	0	0	1	1	7	0	1	1
599	cc-bd077.lmo	Tree 013	0	0	0	0	1	1	8	0	1	1
600	nml-bd211.lmo	魔方围墙01	0	0	0	0	0	1	7	0	1	1
601	nml-bd212.lmo	Demonic Wall 03	0	0	0	0	0	1	7	0	1	1
602	nml-bd213.lmo	魔方冰尖01	0	0	0	0	0	1	7	0	1	1
603	nml-bd214.lmo	魔方围墙05	0	0	0	0	0	1	7	0	1	1
604	nml-bd215.lmo	魔方围墙04	0	0	0	0	0	1	7	0	1	1
605	nml-bd216.lmo	魔方围墙06	0	0	0	0	0	1	7	0	1	1
606	nml-bd217.lmo	魔方雕塑01	0	0	0	0	0	1	7	0	1	1
607	nml-bd218.lmo	魔方水池01	0	0	0	0	0	1	7	0	1	1
608	nml-bd219.lmo	魔方水池02	0	0	0	0	0	1	7	0	1	1
609	nml-bd220.lmo	魔方水池03	0	0	0	0	0	1	7	0	1	1
610	nml-bd221.lmo	魔方水池04	0	0	0	0	0	1	7	0	1	1
611	nml-bd222.lmo	魔方围墙02	0	0	0	0	0	1	7	0	1	1
612	cc-bd065.lmo	春城下水道06	0	0	0	0	0	1	5	0	1	1
613	cc-bd066.lmo	春城下水道07	0	0	0	0	0	1	5	0	1	1
614	cc-bd071.lmo	春城酒馆招牌01	0	0	0	0	1	1	5	0	1	0
615	cc-bd072.lmo	春城理发店招牌01	0	0	0	0	1	1	5	0	1	0
616	cc-bd073.lmo	春城首饰店招牌01	0	0	0	0	1	1	5	0	1	0
617	cc-bd074.lmo	春城银行招牌01	0	0	0	0	1	1	5	0	1	0
618	cc-bdhq.lmo	海底黑墙	0	0	0	0	0	1	5	0	1	1
619	hlcx02.lmo	黑龙巢穴迷宫02	0	0	0	0	0	1	5	0	1	1
620	hlcx03.lmo	黑龙巢穴迷宫03	0	0	0	0	0	1	5	0	1	1
621	hlcx04.lmo	黑龙巢穴迷宫04	0	0	0	0	0	1	5	0	1	1
622	hlcx05.lmo	黑龙巢穴迷宫05	0	0	0	0	0	1	5	0	1	1
623	hlcx06.lmo	黑龙巢穴迷宫06	0	0	0	0	0	1	5	0	1	1
624	hlcx07.lmo	黑龙巢穴迷宫07	0	0	0	0	0	1	5	0	1	1
625	hlcx08.lmo	黑龙巢穴迷宫08	0	0	0	0	0	1	5	0	1	1
626	hlcx09.lmo	黑龙巢穴Lamp 01	0	0	0	0	0	1	5	0	1	1
627	hlcx-gh.lmo	Ghost Flame	0	0	0	0	0	0	5	0	1	0
628	hlcx-rk.lmo	Black Dragon Lair Entrance	0	0	0	0	1	1	5	0	1	0
629	hlcx-bx.lmo	Treasure Chest	0	0	0	0	0	1	5	0	1	1
630	hdsd01.lmo	海底遂道入口	0	0	0	0	1	1	5	0	1	1
631	long001.lmo	Black Dragon Lair 3	0	0	0	0	0	0	5	0	1	0
632	hlcx-ck.lmo	黑龙巢穴出口	0	0	0	0	1	1	5	0	1	0
633	cc-bddxsdrk.lmo	Underground Water Tunnel 入口	0	0	0	0	1	1	5	0	1	1
634	cc-bd075.lmo	Gate of Spring Town 01	0	0	0	0	1	1	5	0	1	0
635	hdmgrk01.lmo	海盗基地入口	0	1,2	0	0	1	1	5	0	1	1
636	hdwjsj001.lmo	计算机	0	0	0	0	1	1	5	0	1	1
637	hdwblg001.lmo	玻璃罐	0	0	0	0	1	1	5	0	1	1
638	hdjd-cbd01.lmo	财宝堆01	0	0	0	0	1	1	5	0	1	1
