//编号	技能名称	标识是否是生活技能	职业	左手武器限制	右手武器限制	身体装备限制	贝壳使用检测	技能阶段	技能类型	有益/有害	学习等级	前置技能	技能点消耗	施放者形态	适用地点	释放距离	作用对象	攻击模式	角度	半径	技能区域形状	技能前期处理公式	技能添加地面状态公式	技能sp公式	耐久度消耗公式	冲值消耗公式	技能区域公式	施放阶段公式	效果阶段公式	正效果公式	反效果公式	绑定的可手动移除状态编号	自身参数	自身效果	消耗物品	持续时间	目标参数	溅射参数	目标持续效果	溅射持续效果	变身编号	召唤编号	释放时间	再施放时间	伤害表现	动作播放	动作	keyframe	攻击音效	人物dummy	人物特效	基准值	道具dummy	道具特效	道具特效2	飞行keyfram	人物dummy	道具dummy	飞行特效	飞行速度	受击音效	dummy	人物受击特效	特效时间点	地面受击特效	水面受击特效	ICON	技能播放次数	操作执行命令	说明	效果	消耗	备注																																		
0065	Deftness	1	9,10	1,-1	1,-1	1,-1	-1	2	2	1	-1	109,2	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	Skill_Lqhb_Use	Skill_Lqhb_Unuse	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	-1	-1	-1	0	0	-1	0,0	0,0	-1	-1	-1	0	0	-1	-1	0	0	0	0	s0065.tga	0	0	Increases chance to dodge attacks	Increases by 3 points per skill level	Passive	0
0066	Concentration	1	1,10;8,10;9,10	1,-1	1,-1	1,-1	-1	2	2	1	-1	-1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	Skill_Jdzz_Use	Skill_Jdzz_Unuse	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	-1	-1	-1	0	0	-1	0,0	0,0	-1	-1	-1	0	0	-1	-1	0	0	0	0	s0066.tga	0	0	Increases hit rate of character	Increases by 1 point per skill level	Passive	0
0067	Greatsword Mastery	1	8,10	1,-1	1,2	1,-1	-1	2	2	1	-1	127,5	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	Skill_Jjsl_Use	Skill_Jjsl_Unuse	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	-1	-1	-1	0	0	-1	0,0	0,0	-1	-1	-1	0	0	-1	-1	0	0	0	0	s0067.tga	0	0	Increase attack power when wielding Greatsword	Increases by 7 points per skill level	Passive	0
0068	Blood Bull	1	8,10	1,-1	1,2	1,27;2,825;2,845	-1	2	2	1	-1	67,3	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	Skill_Mnrx_Use	Skill_Mnrx_Unuse	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	-1	48	-1	0	0	-1	0,0	0,0	-1	-1	-1	0	0	-1	-1	0	0	0	0	s0068.tga	0	0	Increases Max HP and Defense with Totem equipped	Increases defense and max HP by 10% at Level 1. Increases by 2% per skill level	Passive	0
0069	Evasion	1	9,10	1,1	1,1	1,-1	-1	2	2	1	-1	-1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	Skill_Hys_Use	Skill_Hys_Unuse	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8	-1	-1	-1	0	0	-1	0,0	0,0	-1	-1	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0
0070	Blood Frenzy	1	9,10	1,1	1,1	1,-1	-1	2	2	1	-1	109,2	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	Skill_Pxkg_Use	Skill_Pxkg_Unuse	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	-1	-1	-1	0	0	-1	0,0	0,0	-1	-1	-1	0	0	-1	-1	0	0	0	0	s0070.tga	0	0	Reduces attack cooldown while dual wielding	Decreased cooldown time by 10% at Level 1. Increases by of 2% per skill level	Passive	0
0071	Beast Strength	1	10,10	1,22	1,-1	1,-1	-1	2	2	1	-1	-1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	Skill_Shtz_Use	Skill_Shtz_Unuse	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	-1	-1	-1	0	0	-1	0,0	0,0	-1	-1	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0
0072	Recuperate	1	10,10	1,22	1,-1	1,-1	-1	2	2	1	-1	-1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	Skill_Tzhf_Use	Skill_Tzhf_Unuse	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	-1	-1	-1	0	0	-1	0,0	0,0	-1	-1	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0
0073	Shield Mastery	1	10,10	1,22	1,-1	1,-1	-1	2	2	1	-1	-1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	Skill_Dpsl_Use	Skill_Dpsl_Unuse	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	-1	-1	-1	0	0	-1	0,0	0,0	-1	-1	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0
0074	Range Mastery	1	2,10;12,10	1,-1	1,-1	1,-1	-1	2	2	1	-1	-1	1	1	1	0	1	1	0	0	0	0	0	297	0	0	0	0	0	Skill_Gjsl_Use	Skill_Gjsl_Unuse	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	-1	-1	-1	0	0	-1	0,0	0,0	-1	-1	-1	0	0	-1	-1	0	0	0	0	s0074.tga	0	0	Increases attack of long-range weapon	Increases by 2 points per skill level	Passive	0
0075	Windwalk	1	2,10;12,10	1,-1	1,-1	1,-1	-1	2	2	1	-1	74,2	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	Skill_Jfb_Use	Skill_Jfb_Unuse	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	-1	-1	-1	0	0	-1	0,0	0,0	-1	-1	-1	0	0	-1	-1	0	0	0	0	s0075.tga	0	0	Increases movement speed	Increases by 2% per skill level	Passive	0
0076	Ranger	1	2,10;12,10	1,-1	1,-1	1,-1	-1	2	2	1	-1	-1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	Skill_Clxz_Use	Skill_Clxz_Unuse	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	-1	-1	-1	0	0	-1	0,0	0,0	-1	-1	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0
0077	Hunter Disguise	1	12,10	1,-1	1,-1	1,-1	-1	2	2	1	-1	-1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	Skill_Lrwz_Use	Skill_Lrwz_Unuse	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	-1	-1	-1	0	0	-1	0,0	0,0	-1	-1	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0
0078	Firegun Mastery	1	12,10	1,-1	1,4	1,-1	-1	2	2	1	-1	74,10	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	Skill_Hqsl_Use	Skill_Hqsl_Unuse	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	-1	-1	-1	0	0	-1	0,0	0,0	-1	-1	-1	0	0	-1	-1	0	0	0	0	s0078.tga	0	0	Increases attack power when using Firegun	Increases 6 minimum and 10 maximum damage per skill level	Passive	0
0079	Vigor	1	5,10;13,10;14,10	1,-1	1,-1	1,-1	-1	2	2	1	-1	-1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	Skill_Jsjc_Use	Skill_Jsjc_Unuse	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	-1	-1	-1	0	0	-1	0,0	0,0	-1	-1	-1	0	0	-1	-1	0	0	0	0	s0079.tga	0	0	Increases Max SP	Increases by 40 points per skill level	Passive	0
0080	Divine Grace	1	13,10;14,10	1,-1	1,-1	1,-1	-1	2	2	1	-1	79,8	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	Skill_Sy_Use	Skill_Sy_Unuse	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	-1	-1	-1	0	0	-1	0,0	0,0	-1	-1	-1	0	0	-1	-1	0	0	0	0	s0080.tga	0	0	Increases SP recovery rate of character	Increases recovery rate by 2 points at Level 1. Increases by 1 point per skill level	Passive	0
0081	Illusion Slash	1	1,10;8,10;9,10	1,-1	1,1;1,2	1,-1	-1	2	1	0	-1	62,3	1	1	3	800	4	1	0	0	0	0	0	SkillSp_Hyz	0	0	0	0	Skill_Hyz_End	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SkillCooldown_Hyz	2	1	14	0	40	2	186	0	0	218,0	0,0	0	9	-1	1018	1600	41	2	195	-1	0	0	s0081.tga	0	0	Damages target from a distance by using your sword	Attack is boosted according to skill level and current attack speed	Fix consumption of 20 SP	0
0082	Mighty Strike	1	8,10	1,-1	1,2	1,-1	-1	2	1	0	-1	64,3	1	1	1	400	4	1	0	0	0	0	0	SkillSp_Zj	0	0	0	0	Skill_Zj_End	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SkillCooldown_Zj	1	1	10	0	42	2	187	0	0	218,0	0,0	-1	-1	-1	0	0	43	2	196	0	0	0	s0082.tga	0	0	Ferocious melee attack on a single target	Increases attack by 1.25 times at Level 1. Increases by 5% per skill level	Consumes 9 SP at Level 1. Increases by 1 SP per skill level	0
0083	Primal Rage 	1	8,10	1,-1	1,2	1,27;2,825;2,845	-1	2	1	0	-1	68,5	1	1	1	800	4	1	0	0	0	0	0	SkillSp_Swzq	0	0	0	0	Skill_Swzq_End	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SkillCooldown_Swzq	1	1	12	0	50	-1	102	0	-1	0,0	0,0	-1	-1	-1	0	0	51	-1	103	0	0	0	s0083.tga	0	0	Equip totem to use. Performs a close ranged attack on target	Increases attack by 3.5 times at Level 1. Increases by 50% per skill level	Consumes 53 SP at Level 1. Increases by 3 SP per skill level	0
0084	Berserk	1	1,10;8,10;9,10	1,-1	1,1;1,2	1,-1	-1	2	1	1	-1	81,4	1	1	1	0	1	1	0	0	0	0	0	SkillSp_Kb	0	0	0	0	Skill_Kb_End	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SkillCooldown_Kb	1	1	12	0	46	2	117	0	-1	0,0	0,0	-1	-1	-1	0	0	-1	-1	0	-2	236	0	s0084.tga	0	0	Put character into Berserk mode to increase attack speed	Increase hit rate and attack speed for short duration. Effect increases with skill level	Fixed consumption of 15 SP	0
0085	Backstab	1	9,10	1,1	1,1	1,-1	-1	2	1	0	-1	-1	1	1	1	200	4	1	0	0	0	0	0	SkillSp_Bc	0	0	0	0	Skill_Bc_End	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SkillCooldown_Bc	1	1	7	0	-1	-1	0	0	1	124,0	0,0	-1	-1	-1	0	0	-1	2	125	0	0	0	0	0	0	0	0	0	0
0086	Shadow Slash	1	9,10	1,1	1,1	1,-1	-1	2	1	0	-1	70,5	1	1	1	200	4	1	0	0	0	0	0	SkillSp_Guz	0	0	0	0	Skill_Guz_End	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SkillCooldown_Guz	1	1	41	-1	54	-1	252	0	-1	218,0	0,0	-1	-1	-1	0	0	55	-1	251	0	0	0	s0086.tga	0	0	Continuous melee attack which dazes a single target	Increases attack by 110% and dazes target for 3.5s at Level 1. Increases attack by 10% and daze duration by 0.5s per skill level	Consumes 23 SP at Level 1. Increases by 3 SP per skill level	0
0087	Poison Dart	1	9,10	1,1	1,1	1,-1	-1	2	1	0	-1	70,2	1	1	3	1000	4	1	0	0	0	0	0	SkillSp_Db	0	0	0	0	Skill_Db_End	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SkillCooldown_Db	2	1	40	-1	56	2	249	0	-1	218,0	0,0	0	9	-1	2004	1600	57	2	198	0	0	0	s0087.tga	0	0	Shoots a dart which poisons target	Deals 12 damage per second, over a period of 17s at Level 1. Increases damage by 2 and poison duration by 2s per skill level	Fix consumption of 20 SP	0
0088	Numb	1	9,10	1,1	1,1	1,-1	-1	2	1	0	-1	-1	1	1	1	400	4	1	0	0	0	0	0	SkillSp_Mb	0	0	0	0	Skill_Mb_End	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SkillCooldown_Mb	2	1	7	-1	-1	2	186	0	-1	0,0	0,0	0	9	-1	1019	1600	-1	2	199	0	0	0	s0088.tga	0	0	0	0	0	0
0089	Eagle's Eye	1	2,5;12,5	1,-1	1,-1	1,-1	-1	2	1	1	-1	-1	1	1	1	0	1	1	0	0	0	0	0	SkillSp_Yy	0	0	0	0	Skill_Yy_End	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SkillCooldown_Yy	1	1	12	0	58	-1	213	0	-1	0,0	0,0	-1	-1	1	0	0	-1	-1	215	-1	0	0	s0089.tga	0	0	Increase character Hit Rate	Increases hit rate by 3 points per skill level	Fix consumption of 10 sp	0
0090	Dual Shot	1	2,10;12,10	1,3	1,-1	1,-1	-1	2	1	0	-1	74,3	1	1	3	1000	4	1	0	0	0	0	0	SkillSp_Lzj	0	0	0	0	Skill_Lzj_End	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SkillCooldown_Lzj	2	1	7	0	60	-1	105	0	-1	0,0	0,0	0	6	-1	2002	1600	61	2	104	-2	0	0	s0090.tga	0	0	Two continuous attacks on a single target	Increases attack by 1.7 times at Level 1. Increases by 15% per skill level	Fix consumption of 20 SP	0
0091	Hunter Strike	1	2,10;12,10	1,-1	1,-1	1,-1	-1	2	1	0	-1	-1	1	1	1	200	4	1	0	0	0	0	0	SkillSp_Ldc	0	0	0	0	Skill_Ldc_End	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SkillCooldown_Ldc	1	1	7	0	-1	2	186	0	-1	0,0	0,0	-1	-1	-1	0	0	-1	2	125	0	0	0	0	0	0	0	0	0	0
0092	Astro Strike	1	11,10	1,3	1,-1	1,-1	-1	2	1	0	-1	-1	1	1	1	1000	4	1	0	0	0	0	0	SkillSp_Hxqj	0	0	0	0	Skill_Hxqj_End	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SkillCooldown_Hxqj	2	1	7	-1	-1	11	139	0	-1	0,0	0,0	0	6	-1	1016	1600	-1	2	140	0	0	0	0	0	0	0	0	0	0
0093	Frozen Arrow	1	2,10;12,10	1,3	1,-1	1,-1	-1	2	1	0	-1	90,2	1	1	3	1000	4	1	0	0	0	0	0	SkillSp_Bdj	0	0	0	0	Skill_Bdj_End	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SkillCooldown_Bdj	2	1	7	0	-1	2	296	0	-1	0,0	0,0	0	6	-1	1020	1600	-1	0	0	0	0	0	s0093.tga	0	0	Increases attack by 1.2 times and slows enemy at Level 1. Effect increases with skill level	Increases attack by 1.2 times and slows enemy at Level 1. Effect increases with skill level	Fixed consumption of 15 SP	0
0094	Cripple	1	12,10	1,-1	1,4	1,-1	-1	2	1	0	-1	93,5	1	1	1	1000	4	1	0	0	0	0	0	SkillSp_Tj	0	0	0	0	Skill_Tj_End	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SkillCooldown_Tj	2	1	7	0	66	-1	0	0	1	256,-1	142,0	0	-1	-1	0	0	67	2	144	0	0	0	s0094.tga	0	0	Decreases movement speed and dodge rate of target	Decrease movement by 50%, dodge rate by 20% over a period of 5s at Level 1. Debuffs for 2.5% move/dodge more and lasts 1s longer per skill level	Consumes 10 SP at Level 1. Increases by 0.5 SP per skill level	0
0095	Enfeeble	1	12,10	1,-1	1,4	1,-1	-1	2	1	0	-1	94,5	1	1	1	1000	4	1	0	0	0	0	0	SkillSp_Sj	0	0	0	0	Skill_Sj_End	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SkillCooldown_Sj	2	1	7	0	68	-1	0	0	1	256,-1	260,0	0	-1	-1	0	0	69	2	261	0	0	0	s0095.tga	0	0	Decreases target attack and disables target from using a skill	Decreases attack by 20% and prevents skill usage for 5s at Level 1. Duration extended by 0.5s per skill level	Consumes 26 SP at Level 1. Increases by 1 SP per skill level	0
0096	Headshot	1	12,10	1,-1	1,4	1,-1	-1	2	1	0	-1	95,5	1	1	1	1000	4	1	0	0	0	0	0	SkillSp_Bt	0	0	0	0	Skill_Bt_End	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SkillCooldown_Bt	2	1	7	0	70	-1	0	0	1	256,-1	257,0	0	-1	-1	0	0	71	2	258	0	0	0	s0096.tga	0	0	Ignore target's defense, dealing maximum damage	Deals 350 direct damage as well as 5%-10% of target's HP at Level 1. Increases damage by 30 per skill level	Consumes 32 SP at Level 1. Increases by 2 SP per skill level	0
0097	Heal	1	5,10;13,10;14,10	1,-1	1,-1	1,-1	-1	2	1	1	-1	-1	1	1	1	1000	5	1	0	0	0	0	0	SkillSp_Xzy	0	0	0	0	Skill_Xzy_End	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SkillCooldown_Xzy	1	1	12	0	72	-1	113	0	-1	0,0	0,0	-1	-1	-1	0	0	73	2	114	-2	0	0	s0097.tga	0	0	Restores target's HP and gains some EXP	Restores target's HP and gains some EXP	Consumes 34 SP at Level 1. Increases by 4 SP per skill level	0
0098	Recover	1	5,10;13,10;14,10	1,-1	1,-1	1,-1	-1	2	1	1	-1	225,3	1	1	1	1000	5	1	0	0	0	0	0	SkillSp_Hfs	0	0	0	0	Skill_Hfs_End	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SkillCooldown_Hfs	1	1	11	0	74	-1	219	0	-1	159,0	0,0	-1	-1	-1	0	0	-1	2	148	-1	0	0	s0098.tga	0	0	Removes target's debuff	0	Fix consumption of 20 SP	0
0099	Spiritual Bolt	1	5,10;13,10;14,10	1,-1	1,9	1,-1	-1	2	1	0	-1	-1	1	1	1	800	4	1	0	0	0	0	0	SkillSp_Xlcz	0	0	0	0	Skill_Xlcz_End	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SkillCooldown_Xlcz	2	1	11	-1	92	-1	190	0	-1	0,0	0,0	0	9	1	2003	1200	93	2	0	-2	0	0	s0099.tga	0	0	Attacks target with magical damage	Deal magical damage and ignore Physical Defense. Damage determined by skill level and spirit.	Consumes 32 SP at Level 1. Increases by 2 SP per skill level	0
0100	Spiritual Fire	1	5,10;13,10;14,10	1,-1	1,-1	1,-1	-1	2	1	1	-1	99,2	1	1	1	800	5	1	0	0	0	0	0	SkillSp_Xlzh	0	0	0	0	Skill_Xlzh_End	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SkillCooldown_Xlzh	1	1	12	-1	76	-1	191	0	-1	0,0	0,0	-1	-1	-1	0	0	-1	-1	202	-1	0	0	s0100.tga	0	0	Increases attack of character	Increases attack by 11% over 180s at Level 1. Increases attack by 1% and duration by 18s per skill level	Consumes 44 SP at Level 1. Increases by 4 SP per skill level	0
0101	Tempest Boost	1	5,10;13,10;14,10	1,-1	1,-1	1,-1	-1	2	1	1	-1	100,4	1	1	1	800	5	1	0	0	0	0	0	SkillSp_Fzlz	0	0	0	0	Skill_Fzlz_End	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SkillCooldown_Fzlz	1	1	12	0	78	-1	192	0	-1	0,0	0,0	-1	-1	-1	0	0	-1	-1	170	-1	0	0	s0101.tga	0	0	Increases attack speed of character	Increases attack speed by 6% over 138s at Level 1. Increases attack speed by 1% and duration by 18s per skill level	Consumes 44 SP at Level 1. Increases by 4 SP per skill level	0
0102	Tornado Swirl	1	13,10	1,-1	1,-1	1,-1	-1	2	1	1	-1	116,2	1	1	1	800	5	1	0	0	0	0	0	SkillSp_Jsfb	0	0	0	0	Skill_Jsfb_End	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SkillCooldown_Jsfb	1	1	12	0	84	-1	193	0	1	247,0	0,0	-1	-1	-1	0	0	-1	-1	203	0	0	0	s0102.tga	0	0	Increases critical rate of character	Increases critical rate by 6% over 33s at Level  1. Increases attack speed by 1% and duration by 3s per skill level	Fix consumption of 20 SP	0
0103	Angelic Shield	1	13,10	1,-1	1,-1	1,-1	-1	2	1	1	-1	102,2	1	1	1	800	5	1	0	0	0	0	0	SkillSp_Tshd	0	0	0	0	Skill_Tshd_End	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SkillCooldown_Tshd	1	1	12	0	86	-1	159	0	1	194,0	0,0	-1	-1	-1	0	0	-1	-1	160	-2	0	0	s0103.tga	0	0	Increases defense of character	Increases defense by 3% over 33s at Level 1. Increases defense by 3% and duration by 3s per skill level	Fix consumption of 20 SP	0
0104	Seal of Elder	1	14,10	1,-1	1,-1	1,-1	-1	2	1	0	-1	105,3	1	1	1	800	4	1	0	0	0	0	0	SkillSp_Xzfy	0	0	0	0	Skill_Xzfy_End	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SkillCooldown_Xzfy	1	1	12	0	88	-1	204	0	1	0,0	0,0	-1	-1	-1	0	0	-1	-1	205	0	0	0	s0104.tga	0	0	Prevent target from using skill	Duration of 10.5s at Level 1. Duration increases by 0.5s per skill level	Consumes 32 SP at Level 1. Increases by 2 SP per skill level	0
0105	Shadow Insignia	1	14,10	1,-1	1,-1	1,-1	-1	2	1	0	-1	119,4	1	1	1	800	4	1	0	0	0	0	0	SkillSp_Ayzz	0	0	0	0	Skill_Ayzz_End	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SkillCooldown_Ayzz	1	1	12	0	90	-1	244	0	1	245,0	0,0	-1	-1	-1	0	0	-1	2	0	-2	179	0	s0105.tga	0	0	Prevents target from using normal attack	Duration of 6s at Level 1. Duration increases by 1s per skill level	Consumes 33 SP at Level 1. Increases by 3 SP per skill level	0
0106	Energy Shield	1	13,10	1,-1	1,-1	1,-1	-1	2	1	1	-1	102,3	1	1	1	0	1	1	0	0	0	0	0	SkillSp_Xlpz	0	0	0	0	Skill_Xlpz_End	0	0	83	0	0	0	0	0	0	0	0	0	0	0	SkillCooldown_Xlpz	1	1	12	0	98	-1	246	0	1	247,0	0,0	-1	-1	-1	0	0	-1	2	248	-2	0	0	s0106.tga	0	0	Damage taken is absorbed by SP	Player loses 1 SP with every 0.75 damage taken. Damaged absorbed per SP is increased by 0.25 per skill level	Passive	0
0107	Howl	1	8,10	1,-1	1,2	1,-1	-1	2	1	0	-1	82,2	1	1	1	0	4	2	0	0	4	0	0	SkillSp_Lh	0	0	SkillArea_Circle_Lh	0	Skill_Lh_End	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SkillCooldown_Lh	1	1	12	0	44	-1	100	0	-1	0,0	0,0	-1	-1	-1	0	0	45	-1	101	0	0	0	s0107.tga	0	0	Damages targets within range	Increases attack by 1.05 times at Level 1. Increases by 5% per skill level	Consumes 20 SP at Level 1. Increases by 1 SP per skill level	0
0108	Barbaric Crush	1	1,10;8,10;9,10	1,-1	1,2	1,-1	-1	2	1	0	-1	-1	1	1	1	400	4	3	0	0	4	0	0	SkillSp_Ymsl	0	0	SkillArea_Circle_Ymsl	0	Skill_Ymsl_End	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SkillCooldown_Ymsl	1	1	11	0	-1	-1	117	0	-1	0,0	0,0	-1	-1	-1	0	0	-1	-1	101	0	0	0	0	0	0	0	0	0	0
0109	Dual Sword	1	9,10	1,-1	1,-1	1,-1	-1	2	2	1	-1	84,5	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	Skill_Fsz_Use	Skill_Fsz_Unuse	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	-1	-1	-1	0	0	-1	0,0	0,0	-1	-1	-1	0	0	-1	-1	0	0	0	0	s0109.tga	0	0	Increases attack of dual wield weapons	Increases left hand attack by 8% at Level 1. Increases by 8% per skill level	Passive	0
0110	Shield of Thorns	1	10,10	1,22	1,-1	1,-1	-1	2	2	1	-1	-1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	Skill_Zjft_Use	Skill_Zjft_Unuse	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	-1	-1	-1	0	0	-1	0,0	0,0	-1	-1	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0
0111	Parry	1	10,10	1,22	1,-1	1,-1	-1	2	1	0	-1	-1	1	1	1	200	4	2	0	0	2	0	0	SkillSp_Hxdj	0	0	SkillArea_Sector_Hxdj	0	Skill_Hxdj_End	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SkillCooldown_Hxdj	1	1	13	0	-1	-1	0	0	1	136,0	0,0	0	-1	1	0	0	-1	2	109	0	0	0	0	0	0	0	0	0	0
0112	Meteor Shower	1	2,10;12,10	1,3	1,-1	1,-1	-1	2	1	0	-1	93,5	1	1	3	800	4	2	0	0	4	0	0	SkillSp_Lxjy	0	0	SkillArea_Square_Lxjy	0	Skill_Lxjy_End	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SkillCooldown_Lxjy	1	1	13	0	62	-1	107	0	-1	0,0	0,0	-1	-1	-1	0	0	63	-1	0	-2	106	0	s0112.tga	0	0	Shoots down a rain of arrows damaging targets within range	Deals 60% area damage at Level 1. Increases damage by 10% per skill level	Fix consumption of 46 SP	0
0113	Magma Bullet	1	12,10	1,-1	1,4	1,-1	-1	2	1	0	-1	78,5	1	1	1	600	4	2	0	0	4	0	SkillArea_State_Rsd	SkillSp_Rsd	0	0	SkillArea_Square_Rsd	0	Skill_Rsd_End	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SkillCooldown_Rsd	1	1	7	0	64	-1	254	0	1	255,0	0,0	0	-1	1	0	0	65	-1	0	-2	111	0	s0113.tga	0	0	Burns the ground causing continuously damage to targets within the area	Deals 33 damage per second over 10s at Level 1. Also debuffs target causing 10 damage per sec for 10s. Damage increased by 3 per skill level	Consumes 17 SP at Level 1. Increases by 2 SP per skill level	0
0114	Dispersion Bullet	1	12,10	1,-1	1,4	1,-1	-1	2	1	0	-1	-1	1	1	3	600	4	2	0	0	2	0	0	SkillSp_Ssd	0	0	SkillArea_Sector_Ssd	0	Skill_Ssd_End	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SkillCooldown_Ssd	2	1	7	-1	-1	-1	0	0	1	108,0	0,0	0	-1	1	2000	1000	-1	2	109	0	0	0	0	0	0	0	0	0	0
0115	Penetrating Bullet	1	12,10	1,-1	1,4	1,-1	-1	2	1	0	-1	-1	1	1	3	800	4	2	0	0	1	0	0	SkillSp_Ctd	0	0	SkillArea_Line_Ctd	0	Skill_Ctd_End	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SkillCooldown_Ctd	2	1	7	-1	-1	-1	0	0	1	108,0	0,0	0	-1	1	1012	1500	-1	2	110	0	0	0	0	0	0	0	0	0	0
0116	True Sight	1	13,10;14,10	1,-1	1,-1	1,-1	-1	2	1	0	-1	80,2	1	1	1	600	4	2	0	0	3	0	SkillArea_State_Syzy	SkillSp_Syzy	0	0	SkillArea_Square_Syzy	0	Skill_Syzy_End	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SkillCooldown_Syzy	1	1	12	0	80	-1	175	0	-1	0,0	0,0	-1	-1	-1	0	0	-1	-1	0	-2	0	0	s0116.tga	0	0	Creates an overseeing eye that reveals all invisible units	Duration of 35s. Duration increases by 15s per skill level	Consume 13 SP at Level 1. Increases by 3 SP per skill level	0
0117	Greater Heal	1	13,10	1,-1	1,9	1,-1	-1	2	1	1	-1	-1	1	1	1	800	5	2	0	0	4	0	0	SkillSp_Dzy	0	0	SkillArea_Circle_Dzy	0	Skill_Dzy_End	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SkillCooldown_Dzy	1	1	11	0	-1	2	113	0	-1	0,0	0,0	-1	-1	-1	0	0	-1	1	114	0	0	0	0	0	0	0	0	0	0
